"",BatterTeam,RoadTeam,HomeTeam,SP,p_throws,Pitches,AB,PA,Outs,Hits,HR,BB,K,xBA,xwOBA,wOBA,RunExp,RA,FIP,xFIP,K%,BB%,K-BB%,Pitches5,Outs5,Outs10,xBA5,xBA10,xwOBA5,xwOBA10,wOBA5,wOBA10,RA5,RA10,FIP5,FIP10,xFIP5,xFIP10,K%5,K%10,BB%5,BB%10,K-BB%5,K-BB%10,Ball%5,Strike%5,CS%5,CS%10,Whiff%5,Whiff%10,CSW%5,CSW%10,bxBA5,bxBA10,bxwOBA5,bxwOBA10,bwOBA5,bwOBA10,bRS5,bRS10,bFIP5,bFIP10,bxFIP5,bxFIP10,bK%5,bK%10,bBB%5,bBB%10,bK-BB%5,bK-BB%10,bBall%5,bStrike%5,bCS%5,bCS%10,bWhiff%5,bWhiff%10,bCSW%5,bCSW%10
5805,COL,COL,PIT,Rich Hill,L,50,12,11,8,3,0,1,2,0.291500,0.273083,0.416667,0.030159,2,2.762000,4.228738,16.67,8.33,8.34,75.6,12.400000,12.600000,0.295855,0.282150,0.316148,0.335096,0.398189,0.400633,4.871868,6.303889,3.416505,5.566517,3.308090,3.455446,19.668000,19.766000,7.266000,7.032000,12.402,12.734000,34.322,46.722000,21.940000,19.812000,8.552000,9.522000,30.492000,29.336000,0.178210,0.157999,0.234055,0.234639,0.220640,0.271124,3.067941,3.850010,3.283765,4.718369,1.817867,2.954504,32.162,23.708,0.770,4.367,31.392,19.341,28.792,50.980,14.574,14.760,16.962,13.776,31.538,28.537
5806,CWS,CWS,KC,Brad Keller,R,88,20,15,15,3,0,4,4,0.183900,0.172400,0.275000,0.018271,1,3.937000,4.197753,20.00,20.00,0.00,73.6,11.400000,13.000000,0.198387,0.212300,0.227857,0.273679,0.413012,0.380689,7.821818,6.996623,7.777000,7.307000,5.952149,5.136185,12.462000,15.359000,22.442000,17.415000,-9.980,-2.056000,44.266,39.806000,16.060000,16.750000,9.282000,9.310000,25.342000,26.061000,0.163038,0.166842,0.218231,0.223498,0.208710,0.233364,2.781818,2.976136,2.912556,3.295043,3.177304,2.767916,26.034,27.889,5.122,3.896,20.912,23.993,34.384,48.348,13.370,13.603,16.720,16.226,30.088,29.828
5807,DET,DET,CLE,Peyton Battenfield,R,90,25,25,18,7,0,0,4,0.252840,0.259120,0.294000,0.013119,5,1.803667,2.890139,16.00,0.00,16.00,73.4,14.600000,14.600000,0.235852,0.235852,0.289671,0.289671,0.255026,0.255026,5.729670,5.729670,4.249454,4.249454,3.795597,3.795597,20.630000,20.630000,5.882000,5.882000,14.748,14.748000,33.658,47.206000,13.958000,13.958000,14.594000,14.594000,28.552000,28.552000,0.255977,0.232651,0.377476,0.339385,0.471663,0.393509,12.642208,8.659846,7.459475,5.517466,4.006962,3.850089,17.424,19.192,8.148,6.736,9.276,12.456,35.954,45.356,15.304,14.815,11.262,11.018,26.564,25.832
5808,HOU,HOU,LAA,Griffin Canning,R,41,12,11,7,4,1,0,1,0.267167,0.341167,0.450000,0.026075,2,9.137000,4.124329,8.33,0.00,8.33,58.4,10.2,10.200,0.235374,0.235374,0.269544,0.269544,0.366538,0.366538,5.712887,5.712887,4.974163,4.974163,3.438230,3.438230,20.750,20.750000,7.046,7.046000,13.704,13.704000,34.288,47.134,17.152,17.152000,14.386,14.386000,31.538,31.538000,0.179509,0.197294,0.344658,0.302654,0.205600,0.239252,0.490909,1.219352,2.532455,2.025265,3.333521,2.606900,31.866,32.188,13.134,9.107,18.732,23.081,35.872,49.364,11.242,13.588,17.144,17.301,28.386,30.889
5809,KC,CWS,KC,Lance Lynn,R,64,18,17,12,5,1,1,4,0.290611,0.347944,0.369444,-0.000332,5,5.137000,2.864826,22.22,5.56,16.66,82.0,14.8,15.300,0.241339,0.244860,0.288424,0.300500,0.345997,0.364320,6.584575,7.144755,4.788498,5.575779,2.484779,3.325692,27.020,21.763000,5.506,6.959000,21.514,14.804000,33.272,48.906,16.002,14.863000,13.868,13.180000,29.870,28.044000,0.219897,0.223153,0.301462,0.300021,0.320215,0.257058,2.603211,1.742952,3.519051,3.583337,3.559632,3.836848,20.506,16.208,9.188,6.648,11.318,9.560,37.984,44.058,13.758,15.415,13.822,10.406,27.580,25.821
5810,LAA,HOU,LAA,Cristian Javier,R,83,19,18,16,3,1,1,10,0.166474,0.209000,0.236842,-0.010646,2,2.387000,0.927326,52.63,5.26,47.37,90.8,16.6,15.400,0.204182,0.205734,0.264143,0.259160,0.275442,0.266596,3.201429,2.738571,3.258786,2.856478,2.241633,2.591891,35.470,30.615000,7.364,5.110000,28.106,25.505000,36.272,49.964,13.446,15.203000,17.034,15.754000,30.480,30.960000,0.208110,0.217685,0.284652,0.312578,0.279032,0.313896,4.435636,5.016818,2.975182,4.141424,3.375511,3.685528,24.682,21.453,6.414,7.860,18.268,13.593,33.298,50.534,17.180,16.586,13.198,11.052,30.378,27.637
5811,LAD,LAD,MIL,Wade Miley,L,69,18,15,11,4,2,2,2,0.196222,0.260278,0.438889,0.082013,4,11.591545,6.634074,11.11,11.11,0.00,70.4,13.6,13.900,0.230533,0.230228,0.293191,0.295522,0.305104,0.329221,3.263102,4.625493,5.248264,5.266734,4.661051,4.492406,12.542,14.144000,6.222,6.503000,6.320,7.641000,38.408,39.834,17.734,17.410000,5.412,7.643000,23.146,25.053000,0.246519,0.244056,0.338978,0.318430,0.397455,0.275395,7.206429,4.187425,6.185571,4.511286,3.709380,3.262943,20.746,22.423,8.494,6.656,12.252,15.767,34.354,47.532,16.058,16.205,12.446,12.556,28.502,28.762
5812,MIA,MIA,AZ,Merrill Kelly,R,89,21,19,17,3,1,1,6,0.168000,0.227429,0.223810,0.006841,4,3.842882,2.699148,28.57,4.76,23.81,76.6,14.2,13.600,0.229518,0.239082,0.257397,0.285244,0.290356,0.318760,3.256882,4.115576,3.544750,4.715155,2.859507,3.797081,25.954,23.755000,7.662,11.541000,18.292,12.214000,35.364,46.948,14.788,14.020000,11.302,12.111000,26.090,26.132000,0.225343,0.221967,0.296182,0.325382,0.354226,0.356733,6.087273,5.698848,5.889727,5.418340,3.072025,3.965887,20.626,17.797,3.126,8.399,17.500,9.398,30.782,50.586,14.608,14.337,13.974,12.968,28.578,27.304
5813,MIL,LAD,MIL,Clayton Kershaw,L,86,22,22,19,5,1,0,7,0.236773,0.296045,0.270455,-0.049795,1,2.979105,1.338190,31.82,0.00,31.82,92.6,18.4,17.400,0.196612,0.201217,0.225425,0.239758,0.248700,0.258894,2.845749,2.595522,3.456337,3.414144,2.012507,2.381737,32.208,30.307000,4.870,5.598000,27.338,24.709000,27.866,56.094,16.554,17.174000,17.728,16.165000,34.286,33.341000,0.255552,0.252051,0.360732,0.352373,0.314925,0.364178,5.751681,6.511322,3.396244,4.261152,3.761434,3.841890,20.210,19.385,3.792,5.760,16.418,13.625,35.320,43.410,18.606,17.023,9.804,10.612,28.412,27.637
5814,MIN,SD,MIN,Seth Lugo,R,84,23,21,17,5,1,1,5,0.300348,0.396043,0.319565,-0.011589,2,4.195824,3.282165,21.74,4.35,17.39,81.2,13.0,14.000,0.278664,0.267454,0.308723,0.304623,0.355733,0.325968,4.878151,3.955822,3.378435,3.499930,3.089865,3.133466,20.756,20.857143,5.404,6.145714,15.352,14.711429,35.858,46.740,17.934,18.190000,7.762,8.245714,25.696,26.435714,0.190713,0.184425,0.290049,0.287319,0.268005,0.287497,3.363000,3.912115,4.229146,4.055535,3.346967,3.407678,23.326,25.949,7.058,9.312,16.268,16.637,35.338,46.934,17.166,18.540,15.618,13.450,32.784,31.990
